# T/Tc rho_frag frag_eft
6.535353535353534138e-01 8.420346807852367721e-02 5.906661831486519770e-02
6.606060606060605300e-01 7.948899100120861150e-02 5.485368433382453029e-02
6.676767676767676463e-01 7.493371820870886602e-02 5.084323304757901174e-02
6.747474747474747625e-01 7.053696260537820062e-02 4.703186005584306800e-02
6.818181818181818787e-01 6.629788422173338303e-02 4.341588112046386450e-02
6.888888888888888840e-01 6.221549209805517233e-02 3.999134745118065881e-02
6.959595959595958892e-01 5.828864625091812607e-02 3.675406135426267928e-02
7.030303030303030054e-01 5.451605972142051226e-02 3.369959221013527767e-02
7.101010101010101216e-01 5.089630070384904698e-02 3.082329274572261774e-02
7.171717171717171269e-01 4.742779475347804613e-02 2.812031556691320724e-02
7.242424242424242431e-01 4.410882707216797621e-02 2.558562991629215536e-02
7.313131313131313593e-01 4.093754487039505396e-02 2.321403862108228910e-02
7.383838383838383645e-01 3.791195980430828172e-02 2.100019519609184690e-02
7.454545454545453698e-01 3.502995048637924658e-02 1.893862106638518825e-02
7.525252525252524860e-01 3.228926506817714204e-02 1.702372287436915502e-02
7.595959595959596022e-01 2.968752389377005835e-02 1.524980983602498320e-02
7.666666666666666075e-01 2.722222222222222751e-02 1.361111111111111202e-02
7.737373737373737237e-01 2.489073301762791471e-02 1.210179315231886023e-02
7.808080808080808399e-01 2.269030980509218268e-02 1.071597699857602601e-02
7.878787878787878451e-01 2.061808959104051431e-02 9.447755477966621532e-03
7.949494949494948504e-01 1.867109584621095761e-02 8.291210286064637502e-03
8.020202020202020776e-01 1.684624154965575632e-02 7.240428905867246807e-03
8.090909090909089718e-01 1.514033229205224290e-02 6.289521335955762515e-03
8.161616161616163101e-01 1.355006943659693187e-02 5.432636594011602295e-03
8.232323232323232043e-01 1.207205333573315581e-02 4.663978963367978320e-03
8.303030303030303205e-01 1.070278660193559918e-02 3.977823950883837938e-03
8.373737373737373257e-01 9.438677430754939882e-03 3.368533925086607522e-03
8.444444444444444420e-01 8.276042974300134442e-03 2.830573404239526691e-03
8.515151515151515582e-01 7.211112763316149428e-03 2.358523964750077091e-03
8.585858585858584524e-01 6.240032175992612368e-03 1.947098741144403199e-03
8.656565656565657907e-01 5.358865951619063914e-03 1.591156489688645573e-03
8.727272727272726849e-01 4.563601747183491757e-03 1.285715188640020913e-03
8.797979797979798011e-01 3.850153734990904332e-03 1.025965149055958541e-03
8.868686868686868063e-01 3.214366239362780649e-03 8.072816110787773940e-04
8.939393939393939226e-01 2.652017410459582124e-03 6.252368016424189384e-04
9.010101010101010388e-01 2.158822933253682578e-03 4.756114306169210515e-04
9.080808080808079330e-01 1.730439769664166233e-03 3.544056035124138913e-04
9.151515151515152713e-01 1.362469931850883182e-03 2.578491300064229353e-04
9.222222222222221655e-01 1.050464284651802865e-03 1.824112087339811890e-04
9.292929292929292817e-01 7.899263751345928083e-04 1.248094699874336322e-04
9.363636363636362869e-01 5.763162872223957182e-04 8.201835921031538240e-05
9.434343434343434032e-01 4.050545193421877595e-04 5.127684543466323053e-05
9.505050505050505194e-01 2.715258830347184256e-04 3.009544010210067990e-05
9.575757575757574136e-01 1.710834204556467412e-04 1.626251302345963233e-05
9.646464646464647519e-01 9.905233868948602955e-05 7.849893567705764017e-06
9.717171717171716461e-01 5.073395879068142843e-05 3.217746526199636052e-06
9.787878787878787623e-01 2.140967745971875642e-05 1.018713470701808125e-06
9.858585858585857675e-01 6.344939256832291303e-06 2.013118107900533539e-07
9.929292929292928838e-01 7.932172512045695597e-07 1.258515622075745726e-08
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
