# T/Tc retro_corr S_topo
7.919597989949748174e-01 2.887176934137245313e-02 -2.846380425231045258e-02
7.954773869346734028e-01 2.955266558050846648e-02 -2.912537393721018053e-02
7.989949748743718771e-01 3.019833642470660939e-02 -2.975231402635508671e-02
8.025125628140703515e-01 3.161827592470935894e-02 -3.112968031452707784e-02
8.060301507537688259e-01 3.300882479204382547e-02 -3.247670102358346522e-02
8.095477386934673003e-01 3.400883147083692132e-02 -3.344428423333346140e-02
8.130653266331657747e-01 3.542570441662862279e-02 -3.481361655410346312e-02
8.165829145728643601e-01 3.676875756214851437e-02 -3.610987717245953132e-02
8.201005025125627235e-01 3.812768663287264409e-02 -3.741975262089627247e-02
8.236180904522613089e-01 4.030836257020128932e-02 -3.951813292944322820e-02
8.271356783919598943e-01 4.176654223566573371e-02 -4.091883037775109755e-02
8.306532663316582576e-01 4.352666290711952601e-02 -4.260695691744501717e-02
8.341708542713567320e-01 4.525710136084899055e-02 -4.426384186870009618e-02
8.376884422110550954e-01 4.634595718637367356e-02 -4.530500967371934445e-02
8.412060301507536808e-01 4.850986353688445385e-02 -4.737093233323382696e-02
8.447236180904522662e-01 4.987755892427368776e-02 -4.867449931315195877e-02
8.482412060301506296e-01 5.171060211882679697e-02 -5.041893425900317860e-02
8.517587939698492150e-01 5.359389927392309988e-02 -5.220803019937926559e-02
8.552763819095476894e-01 5.508970721674492227e-02 -5.362674163659609389e-02
8.587939698492461638e-01 5.680528139926623032e-02 -5.525141800020131472e-02
8.623115577889446381e-01 5.847125260934332713e-02 -5.682659737044324505e-02
8.658291457286432236e-01 6.002176775399192810e-02 -5.829038690650482912e-02
8.693467336683415869e-01 6.218176118091247456e-02 -6.032599952115281355e-02
8.728643216080401723e-01 6.453847683108020206e-02 -6.254228952152567078e-02
8.763819095477387577e-01 6.721220621580406562e-02 -6.505077074265321058e-02
8.798994974874371211e-01 6.980915721368738391e-02 -6.748120956768496881e-02
8.834170854271355955e-01 7.083325742112729639e-02 -6.843802451422001387e-02
8.869346733668341809e-01 7.252923796925844768e-02 -7.002056533332448596e-02
8.904522613065325443e-01 7.562210184897746879e-02 -7.290012328621429949e-02
8.939698492462311297e-01 7.877534583379286470e-02 -7.582738567467267599e-02
8.974874371859297151e-01 8.097148427412059757e-02 -7.786108437762873091e-02
9.010050251256280784e-01 8.318685981849949229e-02 -7.990841541227226841e-02
9.045226130653266639e-01 8.545401492082621564e-02 -8.199926767261575544e-02
9.080402010050251382e-01 8.822117209325892884e-02 -8.454532987889895601e-02
9.115577889447235016e-01 9.097555830850333203e-02 -8.707322019342730868e-02
9.150753768844220870e-01 9.352997891829654964e-02 -8.941189079128132600e-02
9.185929648241206724e-01 9.628314079181039820e-02 -9.192640747296143555e-02
9.221105527638190358e-01 1.007344240985826450e-01 -9.597852377507626320e-02
9.256281407035176212e-01 1.038177901013599969e-01 -9.877579498161569160e-02
9.291457286432160956e-01 1.073941194293533408e-01 -1.020105181632750546e-01
9.326633165829144589e-01 1.103523542271561270e-01 -1.046783018073075833e-01
9.361809045226130443e-01 1.118769184650712512e-01 -1.060504042485220927e-01
9.396984924623116298e-01 1.148343910589343375e-01 -1.087067626762247552e-01
9.432160804020099931e-01 1.183124546570149122e-01 -1.118217063281181228e-01
9.467336683417085785e-01 1.210487305556714882e-01 -1.142655057783492911e-01
9.502512562814070529e-01 1.241208718663072419e-01 -1.170021725210443897e-01
9.537688442211055273e-01 1.272979362641440126e-01 -1.198244494540861849e-01
9.572864321608040017e-01 1.304147762625121332e-01 -1.225855086447477510e-01
9.608040201005025871e-01 1.327109847734967707e-01 -1.246147438814510372e-01
9.643216080402009505e-01 1.372788219820350875e-01 -1.286392900144988083e-01
9.678391959798995359e-01 1.406811105336533974e-01 -1.316264260442395750e-01
9.713567839195981213e-01 1.452470015316781049e-01 -1.356212087770168051e-01
9.748743718592964846e-01 1.487269323554432365e-01 -1.386551843665229100e-01
9.783919597989948480e-01 1.534575975114628454e-01 -1.427649050628952976e-01
9.819095477386935444e-01 1.578424954215005005e-01 -1.465592192584815601e-01
9.854271356783919078e-01 1.622052852339000706e-01 -1.503201686926872171e-01
